Nama,ID Produk,Rentang GMV,Status daftar produk,GMV,GMV dari LIVE penjual,GMV LIVE penjual,GMV tidak langsung dari LIVE penjual,GMV dari video penjual,GMV video penjual,GMV tidak langsung dari video penjual,GMV dari kreator,GMV dari LIVE kreator,GMV LIVE afiliasi,GMV tidak langsung dari LIVE kreator,GMV dari video afiliasi,GMV video Afiliasi,GMV tidak langsung dari video kreator,GMV kartu produk penjual,Pesanan,Pesanan SKU,Produk terjual,Est. pembeli,AOV (pesanan SKU),Impresi produk,Klik produk,CTR,Jumlah tambahkan ke keranjang,Persentase tambahkan ke keranjang,CTOR (pesanan SKU),Impresi produk unik,Klik unik,CTR unik,Pembeli yang menambahkan ke keranjang,Persentase ATC unik,CTOR unik (pesanan SKU),GMV dengan pajak,Pajak,GMV (dengan subsidi dari TikTok),Shipping fees,Pengembalian dana,Produk yang dikembalikan dananya,Pembeli yang dikembalikan dananya,Impresi produk tab Toko,Klik produk tab Toko,Klik produk tab Toko unik,Est. pembeli tab Toko,CTR tab Toko,CTOR tab Toko (SKU),GMV tab Toko,Produk terjual dari tab Toko,Perolehan GMV,GMV.1,GMV tidak langsung,Pesanan teratribusi,Pesanan SKU teratribusi,Pesanan SKU.1,Pesanan SKU tidak langsung,Produk terjual dengan atribusi,Produk terjual.1,Produk yang terjual secara tidak langsung,Est. pembeli.1,AOV (pesanan SKU teratribusi),Jumlah LIVE baru,Impresi produk.1,Klik produk.1,CTR.1,Jumlah tambahkan ke keranjang.1,Persentase tambahkan ke keranjang.1,CTOR (pesanan SKU).1,Impresi produk unik.1,Klik unik.1,CTR unik.1,Pembeli yang menambahkan ke keranjang.1,Persentase ATC unik.1,CTOR unik (pesanan SKU).1,Perolehan GMV.1,GMV.2,GMV tidak langsung.1,Pesanan teratribusi.1,Pesanan SKU teratribusi.1,Pesanan SKU.2,Pesanan SKU tidak langsung.1,Produk terjual dengan atribusi.1,Produk terjual.2,Produk yang terjual secara tidak langsung.1,Est. pembeli.2,AOV (pesanan SKU teratribusi).1,Jumlah video baru,Impresi produk.2,Klik produk.2,CTR.2,Jumlah tambahkan ke keranjang.2,Persentase tambahkan ke keranjang.2,CTOR (pesanan SKU).2,Impresi produk unik.2,Klik unik.2,CTR unik.2,Pembeli yang menambahkan ke keranjang.2,Persentase ATC unik.2,CTOR unik (pesanan SKU).2,Perolehan GMV.2,GMV dari LIVE,GMV LIVE afiliasi.1,GMV tidak langsung dari LIVE kreator.1,GMV dari video,GMV video Afiliasi.1,GMV tidak langsung dari video kreator.1,Pesanan teratribusi.2,Pesanan SKU teratribusi.2,Produk terjual dengan atribusi.2,Est. pembeli.3,AOV (pesanan SKU teratribusi).2,promoting_creators_metric_name_short_ui,Jumlah LIVE baru.1,Jumlah video baru.1,Impresi produk.3,Klik produk.3,CTR.3,Jumlah tambahkan ke keranjang.3,Persentase tambahkan ke keranjang.3,CTOR (pesanan SKU).3,Impresi produk unik.3,Klik unik.3,CTR unik.3,Pembeli yang menambahkan ke keranjang.3,Persentase ATC unik.3,CTOR unik (pesanan SKU).3,Impresi produk (LIVE),Klik produk (LIVE),CTR (LIVE),Jumlah tambahkan ke keranjang (LIVE),Tambahkan ke keranjang (LIVE),CTOR (pesanan SKU) (LIVE),Impresi produk unik (LIVE),Klik unik (LIVE),CTR unik (LIVE),Pengguna ATC (LIVE),Persentase ATC unik (LIVE),CTOR unik (SKU) (LIVE),Impresi produk (video),Klik produk (video),CTR (video),Jumlah tambahkan ke keranjang (video),Tambahkan ke keranjang (video),CTOR (pesanan SKU) (video),Impresi produk unik (video),Klik unik (video),CTR unik (video),Pengguna ATC (video),Persentase ATC unik (video),CTOR unik (SKU) (video),Perolehan GMV.3,GMV.3,GMV tidak langsung.2,Pesanan teratribusi.3,Pesanan SKU teratribusi.3,Pesanan SKU.3,Pesanan SKU tidak langsung.2,Produk terjual dengan atribusi.3,Produk terjual.3,Produk yang terjual secara tidak langsung.2,Est. pembeli.4,AOV (pesanan SKU teratribusi).3,Impresi produk.4,Klik produk.4,CTR.4,Jumlah tambahkan ke keranjang.4,Persentase tambahkan ke keranjang.4,CTOR (pesanan SKU).4,Impresi produk unik.4,Klik unik.4,CTR unik.4,Pembeli yang menambahkan ke keranjang.4,Persentase ATC unik.4,CTOR unik (pesanan SKU).4
8PCS Roda PVC HIDUP 1.5 Inch Roda Kastor Caster Etelase Gerobak Trolley Troli,1729640074160408061,GMV ≥250 atau produk terjual ≥3,Aktif,Rp33.455.292,Rp46.763,Rp46.763,Rp0,Rp3.256.721,Rp2.556.791,Rp699.930,Rp27.010.730,Rp1.363.503,Rp1.289.773,Rp73.730,Rp24.400.280,Rp21.409.541,Rp2.990.739,Rp3.141.078,505,508,602,492,Rp65.857,275770,11181,4.05%,554,4.95%,4.54%,195866,8521,4.35%,492,5.77%,5.77%,Rp33.455.292,Rp0,Rp45.995.325,Rp15.363.761,Rp3.824.627,59,55,80200,2172,1717,129,2.71%,6.17%,Rp9.126.556,159,Rp46.763,Rp46.763,Rp0,1,1,1,0,1,1,0,1,Rp46.763,104,4691,65,1.39%,2,3.08%,1.54%,3268,51,1.56%,2,3.92%,1.96%,Rp3.256.721,Rp2.556.791,Rp699.930,50,51,42,9,59,47,12,46,Rp63.857,3,6670,278,4.17%,11,3.96%,18.35%,4881,241,4.94%,10,4.15%,19.09%,Rp27.010.730,Rp1.363.503,Rp1.289.773,Rp73.730,Rp24.400.280,Rp21.409.541,Rp2.990.739,409,411,485,402,Rp65.720,107,93,25,200244,9105,4.55%,422,4.63%,4.51%,141626,7023,4.96%,387,5.51%,5.72%,21125,697,3.30%,18,2.58%,3.01%,16770,539,3.21%,16,2.97%,3.71%,172523,8320,4.82%,404,4.86%,4.44%,120792,6427,5.32%,371,5.77%,5.63%,Rp3.141.078,Rp3.141.078,Rp0,45,45,45,0,57,57,0,44,Rp69.802,64164,1733,2.70%,119,6.87%,2.60%,52685,1445,2.74%,100,6.92%,3.04%
"Bar + Rantai Chainsaw Set 22"" Inch Guide Bar Sparepart Gergaji Mesin Chainsaw",1735808842820060669,GMV ≥250 atau produk terjual ≥3,Aktif,Rp33.438.988,Rp498.940,Rp339.360,Rp159.580,Rp2.511.490,Rp2.331.710,Rp179.780,Rp29.174.877,Rp529.597,Rp529.597,Rp0,Rp28.298.234,Rp25.337.046,Rp2.961.188,Rp1.253.681,188,188,188,184,Rp177.867,123687,7326,5.92%,405,5.53%,2.57%,86652,5336,6.16%,318,5.96%,3.45%,Rp33.438.988,Rp0,Rp36.576.748,Rp5.682.500,Rp5.576.347,31,31,24383,1223,805,51,5.02%,4.25%,Rp9.183.771,52,Rp498.940,Rp339.360,Rp159.580,3,3,2,1,3,2,1,3,Rp166.313,28,4194,80,1.91%,3,3.75%,3.75%,3508,64,1.82%,2,3.13%,4.69%,Rp2.511.490,Rp2.331.710,Rp179.780,14,14,13,1,14,13,1,14,Rp179.392,1,6658,413,6.20%,14,3.39%,3.39%,3834,314,8.19%,13,4.14%,4.46%,Rp29.174.877,Rp529.597,Rp529.597,Rp0,Rp28.298.234,Rp25.337.046,Rp2.961.188,164,164,164,161,Rp177.896,57,28,34,97353,6184,6.35%,360,5.82%,2.65%,65045,4299,6.61%,288,6.70%,3.75%,3098,73,2.36%,1,1.37%,4.11%,2313,40,1.73%,1,2.50%,7.50%,93065,6085,6.54%,357,5.87%,2.61%,62556,4246,6.79%,285,6.71%,3.67%,Rp1.253.681,Rp1.253.681,Rp0,7,7,7,0,7,7,0,7,Rp179.097,15474,648,4.19%,28,4.32%,1.08%,10176,450,4.42%,22,4.89%,1.56%
Webbing Cargo Tali Krek Lashing Belt 5 Meter Rachet Tie Down TrackBelt Tali Ikat Sabuk,1729631777343243773,GMV ≥3.500 atau produk terjual ≥100,Aktif,Rp30.674.244,Rp62.560,Rp62.560,Rp0,Rp19.443.191,Rp18.213.797,Rp1.229.394,Rp8.473.903,Rp0,Rp0,Rp0,Rp7.039.853,Rp6.343.035,Rp696.818,Rp2.694.590,957,957,1278,941,Rp32.053,475355,20925,4.40%,1856,8.87%,4.57%,367749,16775,4.56%,1631,9.72%,5.61%,Rp30.674.244,Rp0,Rp49.818.568,Rp20.589.393,Rp4.668.343,173,133,136792,4349,3365,295,3.18%,6.90%,Rp8.513.413,370,Rp62.560,Rp62.560,Rp0,1,1,1,0,3,3,0,1,Rp62.560,33,498,5,1.00%,0,0.00%,20.00%,416,5,1.20%,0,0.00%,20.00%,Rp19.443.191,Rp18.213.797,Rp1.229.394,537,537,513,24,785,734,51,528,Rp36.207,4,240951,12054,5.00%,1262,10.47%,4.45%,209176,10373,4.96%,1126,10.86%,5.09%,Rp8.473.903,Rp0,Rp0,Rp0,Rp7.039.853,Rp6.343.035,Rp696.818,313,313,363,307,Rp27.073,77,41,56,114482,5829,5.09%,372,6.38%,5.37%,78359,4481,5.72%,318,7.10%,6.85%,1121,10,0.89%,0,0.00%,0.00%,1001,7,0.70%,0,0.00%,0.00%,110119,5782,5.25%,369,6.38%,4.57%,76098,4452,5.85%,315,7.08%,5.80%,Rp2.694.590,Rp2.694.590,Rp0,106,106,106,0,127,127,0,105,Rp25.421,119415,3036,2.54%,222,7.31%,3.49%,97763,2511,2.57%,214,8.52%,4.18%
SWITCH SAKLAR MODERN Switch M-2100C Saklar Mesin Bor Listrik Tangan 10mm Bolak Balik M2100C M-2100 C M2100 C,1730748329404040701,GMV ≥3.500 atau produk terjual ≥100,Aktif,Rp30.366.079,Rp64.361,Rp64.361,Rp0,Rp3.082.334,Rp2.620.888,Rp461.446,Rp15.126.719,Rp87.813,Rp58.542,Rp29.271,Rp9.787.048,Rp8.884.713,Rp902.335,Rp12.092.665,964,964,1009,937,Rp31.500,256494,9513,3.71%,544,5.72%,10.13%,205463,7437,3.62%,472,6.35%,12.60%,Rp30.366.079,Rp0,Rp44.357.509,Rp17.339.346,Rp3.648.406,112,105,97141,3144,2453,465,3.24%,15.20%,Rp15.108.101,501,Rp64.361,Rp64.361,Rp0,2,2,2,0,2,2,0,2,Rp32.180,6,306,12,3.92%,0,0.00%,16.67%,247,11,4.45%,0,0.00%,18.18%,Rp3.082.334,Rp2.620.888,Rp461.446,94,94,81,13,104,87,17,93,Rp32.791,1,12161,898,7.38%,33,3.67%,10.47%,6388,672,10.52%,32,4.76%,13.84%,Rp15.126.719,Rp87.813,Rp58.542,Rp29.271,Rp9.787.048,Rp8.884.713,Rp902.335,472,472,495,460,Rp32.048,37,30,9,131001,4546,3.47%,234,5.15%,10.38%,89002,3100,3.48%,187,6.03%,14.84%,1291,24,1.86%,1,4.17%,12.50%,1149,23,2.00%,1,4.35%,13.04%,128746,4505,3.50%,235,5.22%,6.75%,87300,3063,3.51%,185,6.04%,9.63%,Rp12.092.665,Rp12.092.665,Rp0,396,396,396,0,408,408,0,385,Rp30.537,113056,4058,3.59%,278,6.85%,9.76%,91384,3109,3.40%,256,8.23%,12.38%
Roda Pintu Pagar Besi Satuan Roda Pagar Model U & V Roda Besi Pagar Roda Rel Roda Gerbang Rel Pagar Roda Gerbang Geser,1729567824650667517,GMV ≥3.500 atau produk terjual ≥100,Aktif,Rp29.910.415,Rp0,Rp0,Rp0,Rp2.373.640,Rp1.872.443,Rp501.197,Rp23.066.898,Rp0,Rp0,Rp0,Rp20.792.881,Rp16.588.697,Rp4.204.184,Rp4.469.877,346,349,1005,319,Rp85.703,166233,8431,5.07%,385,4.57%,4.14%,85389,5364,6.28%,313,5.84%,5.95%,Rp29.910.415,Rp0,Rp37.688.103,Rp8.632.402,Rp3.701.003,112,43,39156,2311,1516,131,5.90%,6.06%,Rp11.537.702,385,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,113,3035,47,1.55%,1,2.13%,0.00%,2658,44,1.66%,1,2.27%,0.00%,Rp2.373.640,Rp1.872.443,Rp501.197,34,34,27,7,82,64,18,32,Rp69.813,4,20961,794,3.79%,33,4.16%,4.28%,9431,629,6.67%,27,4.29%,5.09%,Rp23.066.898,Rp0,Rp0,Rp0,Rp20.792.881,Rp16.588.697,Rp4.204.184,262,265,772,239,Rp87.045,57,31,33,115366,6251,5.42%,283,4.53%,4.24%,60392,4141,6.86%,240,5.80%,5.77%,1507,18,1.19%,2,11.11%,0.00%,1335,15,1.12%,2,13.33%,0.00%,111004,6187,5.57%,277,4.48%,3.93%,58091,4101,7.06%,235,5.73%,5.34%,Rp4.469.877,Rp4.469.877,Rp0,50,50,50,0,151,151,0,49,Rp89.398,26870,1339,4.98%,68,5.08%,3.73%,19873,1003,5.05%,55,5.48%,4.89%
Mesin Profil Trimer Router Kayu Mikayo Kairos Router Trimmer Mesin Profil Kayu Wood Trimer Ukir RH 435-370 COD,1729634040569890301,GMV ≥250 atau produk terjual ≥3,Aktif,Rp28.361.197,Rp813.999,Rp813.999,Rp0,Rp5.627.098,Rp4.840.571,Rp786.527,Rp19.896.829,Rp255.570,Rp255.570,Rp0,Rp19.113.619,Rp15.309.621,Rp3.803.998,Rp2.023.271,108,108,108,106,Rp262.604,137403,12246,8.91%,233,1.90%,0.88%,81531,8364,10.26%,205,2.45%,1.27%,Rp28.361.197,Rp0,Rp33.866.631,Rp5.963.000,Rp6.060.711,22,22,48755,4224,2892,49,8.66%,1.18%,Rp12.514.845,50,Rp813.999,Rp813.999,Rp0,3,3,3,0,3,3,0,3,Rp271.333,73,3251,114,3.51%,0,0.00%,2.63%,2701,94,3.48%,0,0.00%,3.19%,Rp5.627.098,Rp4.840.571,Rp786.527,22,22,19,3,22,19,3,22,Rp255.777,0,21075,1615,7.66%,29,1.80%,1.36%,14097,1296,9.19%,28,2.16%,1.70%,Rp19.896.829,Rp255.570,Rp255.570,Rp0,Rp19.113.619,Rp15.309.621,Rp3.803.998,75,75,75,73,Rp265.291,45,25,21,77887,8197,10.52%,168,2.05%,0.91%,50894,5904,11.60%,152,2.57%,1.24%,6238,135,2.16%,0,0.00%,0.74%,5298,117,2.21%,0,0.00%,0.85%,69421,8013,11.54%,168,2.10%,0.90%,44443,5760,12.96%,152,2.64%,1.22%,Rp2.023.271,Rp2.023.271,Rp0,8,8,8,0,8,8,0,8,Rp252.909,35193,2320,6.59%,36,1.55%,0.34%,24645,1729,7.02%,29,1.68%,0.46%
TERBARUU MESIN BOR DINDING  BOR LISTRIK 350 W 10MM BOLAK BALIK DAN VARIABEL SPEED,1729637408437406205,GMV ≥250 atau produk terjual ≥3,Aktif,Rp28.139.770,Rp0,Rp0,Rp0,Rp15.677.499,Rp14.477.459,Rp1.200.040,Rp10.268.482,Rp2.139.716,Rp1.954.266,Rp185.450,Rp5.608.864,Rp4.892.201,Rp716.663,Rp2.193.789,183,183,183,179,Rp153.769,130474,10465,8.02%,230,2.20%,1.75%,94955,8118,8.55%,198,2.44%,2.20%,Rp28.139.770,Rp0,Rp32.348.513,Rp4.763.882,Rp6.551.442,43,42,34533,1171,874,38,3.39%,3.33%,Rp5.885.666,39,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,8,909,46,5.06%,1,2.17%,0.00%,746,39,5.23%,1,2.56%,0.00%,Rp15.677.499,Rp14.477.459,Rp1.200.040,101,101,93,8,101,93,8,100,Rp155.223,1,40152,5116,12.74%,118,2.31%,1.97%,25557,3939,15.41%,101,2.56%,2.54%,Rp10.268.482,Rp2.139.716,Rp1.954.266,Rp185.450,Rp5.608.864,Rp4.892.201,Rp716.663,68,68,68,66,Rp151.007,97,91,27,44258,3869,8.74%,55,1.42%,1.76%,30830,3046,9.88%,49,1.61%,2.17%,19098,430,2.25%,8,1.86%,3.26%,12441,288,2.31%,7,2.43%,4.86%,21436,3359,15.67%,41,1.22%,1.10%,16729,2700,16.14%,36,1.33%,1.30%,Rp2.193.789,Rp2.193.789,Rp0,14,14,14,0,14,14,0,14,Rp156.699,45153,1434,3.18%,56,3.91%,0.98%,35873,1072,2.99%,50,4.66%,1.31%
Pipe Cleaner 10 Meter Pipa Pembersih Saluran Mampet Pipe Cleaner Alat Pembersih Pipa Kawat Pembersih-wc mampet dll.,1729965366214887933,produk terjual ≥1,Aktif,Rp27.229.106,Rp63.385,Rp0,Rp63.385,Rp9.653.895,Rp9.072.227,Rp581.668,Rp16.761.350,Rp136.530,Rp136.530,Rp0,Rp15.918.598,Rp14.473.772,Rp1.444.826,Rp750.476,401,401,402,391,Rp67.903,174677,9986,5.72%,951,9.52%,4.02%,124449,7277,5.85%,789,10.84%,5.37%,Rp27.229.106,Rp0,Rp36.014.624,Rp10.242.000,Rp5.012.399,72,69,27376,1782,1187,98,6.51%,5.50%,Rp6.444.751,98,Rp63.385,Rp0,Rp63.385,1,1,0,1,1,0,1,1,Rp63.385,55,908,17,1.87%,2,11.76%,5.88%,770,9,1.17%,1,11.11%,11.11%,Rp9.653.895,Rp9.072.227,Rp581.668,141,141,132,9,141,132,9,138,Rp68.467,0,73880,3966,5.37%,372,9.38%,3.56%,63240,3357,5.31%,324,9.65%,4.11%,Rp16.761.350,Rp136.530,Rp136.530,Rp0,Rp15.918.598,Rp14.473.772,Rp1.444.826,247,247,248,241,Rp67.860,67,79,10,80540,5126,6.36%,530,10.34%,4.82%,56100,3721,6.63%,439,11.80%,6.48%,4420,94,2.13%,3,3.19%,2.13%,3798,81,2.13%,3,3.70%,2.47%,75687,5005,6.61%,524,10.47%,4.68%,52202,3632,6.96%,437,12.03%,6.28%,Rp750.476,Rp750.476,Rp0,12,12,12,0,12,12,0,12,Rp62.540,19349,877,4.53%,47,5.36%,1.37%,15641,719,4.60%,46,6.40%,1.67%
MESIN GERINDA TERBARU GRATIS BATU POTONG DAN BATU POLES 4INCH 13 MATA MESIN SELEPAN,1729637407818877437,GMV ≥250 atau produk terjual ≥3,Aktif,Rp26.055.251,Rp7.826.504,Rp7.190.772,Rp635.732,Rp9.106.218,Rp8.491.835,Rp614.383,Rp5.801.624,Rp873.645,Rp873.645,Rp0,Rp2.976.439,Rp2.379.175,Rp597.264,Rp3.320.905,130,130,131,123,Rp200.425,135214,6547,4.84%,192,2.93%,1.99%,94056,5104,5.43%,163,3.19%,2.41%,Rp26.055.251,Rp0,Rp32.365.036,Rp6.492.675,Rp7.259.834,37,34,28368,870,670,40,3.07%,4.60%,Rp7.285.831,40,Rp7.826.504,Rp7.190.772,Rp635.732,38,38,35,3,38,35,3,35,Rp205.961,74,47422,921,1.94%,27,2.93%,4.13%,39995,678,1.70%,24,3.54%,5.16%,Rp9.106.218,Rp8.491.835,Rp614.383,47,47,44,3,47,44,3,45,Rp193.749,3,42017,3848,9.16%,88,2.29%,1.22%,21273,3130,14.71%,83,2.65%,1.44%,Rp5.801.624,Rp873.645,Rp873.645,Rp0,Rp2.976.439,Rp2.379.175,Rp597.264,27,27,28,27,Rp214.875,24,9,15,22730,1032,4.54%,36,3.49%,2.62%,17333,860,4.96%,27,3.14%,3.14%,9208,196,2.13%,6,3.06%,2.04%,7619,148,1.94%,4,2.70%,2.70%,12694,823,6.48%,29,3.52%,1.70%,9331,702,7.52%,22,3.13%,1.99%,Rp3.320.905,Rp3.320.905,Rp0,18,18,18,0,18,18,0,16,Rp184.495,23044,746,3.24%,41,5.50%,2.41%,18970,600,3.16%,34,5.67%,2.67%
Makita Bor Gerinda Paket 2 Mesin Makita Bor Portable 10mm dan Gerinda 4 inch,1733578906056427005,produk terjual ≥1,Nonaktif,Rp24.829.221,Rp0,Rp0,Rp0,Rp15.642.443,Rp15.642.443,Rp0,Rp8.386.858,Rp0,Rp0,Rp0,Rp8.386.858,Rp8.386.858,Rp0,Rp799.920,26,26,26,25,Rp954.970,127638,13750,10.77%,131,0.95%,0.19%,101202,11656,11.52%,104,0.89%,0.21%,Rp24.829.221,Rp0,Rp28.274.829,Rp3.260.000,Rp24.829.221,26,25,8037,281,230,1,3.50%,0.36%,Rp799.920,1,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,1,72,4,5.56%,0,0.00%,0.00%,59,3,5.08%,0,0.00%,0.00%,Rp15.642.443,Rp15.642.443,Rp0,16,16,16,0,16,16,0,16,Rp977.653,0,78851,8936,11.33%,71,0.79%,0.18%,66943,7924,11.84%,62,0.78%,0.20%,Rp8.386.858,Rp0,Rp0,Rp0,Rp8.386.858,Rp8.386.858,Rp0,9,9,9,8,Rp931.873,5,4,1,40020,4607,11.51%,56,1.22%,0.20%,33589,4040,12.03%,39,0.97%,0.20%,580,27,4.66%,0,0.00%,0.00%,490,21,4.29%,0,0.00%,0.00%,39237,4574,11.66%,56,1.22%,0.20%,32968,4015,12.18%,39,0.97%,0.20%,Rp799.920,Rp799.920,Rp0,1,1,1,0,1,1,0,1,Rp799.920,8695,203,2.33%,4,1.97%,0.49%,7555,174,2.30%,4,2.30%,0.57%
MIKAYO  ELECTRIC DRILL / BOR TANGAN 10MM SET RH435-10SET BIRU,1729658622439556605,produk terjual ≥1,Aktif,Rp24.769.367,Rp634.177,Rp634.177,Rp0,Rp6.082.139,Rp5.739.779,Rp342.360,Rp15.387.142,Rp2.137.450,Rp2.137.450,Rp0,Rp12.464.793,Rp12.063.519,Rp401.274,Rp2.665.909,125,125,126,118,Rp198.155,103941,8100,7.79%,324,4.00%,1.54%,83894,6392,7.62%,288,4.51%,1.85%,Rp24.769.367,Rp0,Rp31.876.871,Rp6.799.531,Rp8.468.892,41,40,25138,1008,714,37,4.01%,3.77%,Rp7.016.581,38,Rp634.177,Rp634.177,Rp0,3,3,3,0,3,3,0,3,Rp211.392,63,4478,106,2.37%,2,1.89%,2.83%,3714,85,2.29%,2,2.35%,3.53%,Rp6.082.139,Rp5.739.779,Rp342.360,31,31,29,2,31,29,2,29,Rp196.198,1,20794,2208,10.62%,127,5.75%,1.40%,18216,1960,10.76%,118,6.02%,1.48%,Rp15.387.142,Rp2.137.450,Rp2.137.450,Rp0,Rp12.464.793,Rp12.063.519,Rp401.274,77,77,78,73,Rp199.833,73,88,24,59178,5056,8.54%,163,3.22%,1.52%,50388,4065,8.07%,147,3.62%,1.80%,9513,349,3.67%,17,4.87%,3.15%,7742,241,3.11%,14,5.81%,4.15%,47955,4674,9.75%,143,3.06%,1.33%,41705,3802,9.12%,130,3.42%,1.55%,Rp2.665.909,Rp2.665.909,Rp0,14,14,14,0,14,14,0,13,Rp190.422,19491,730,3.75%,32,4.38%,1.92%,15875,575,3.62%,28,4.87%,2.26%
3 Pcs Paket Selang Kompressor 6 Meter dengan Alat Isi Agin dan Pembersih Debu - Air Chuck Air Duster Dan Selang Recoil,1731863602320213501,GMV ≥250 atau produk terjual ≥3,Aktif,Rp24.744.357,Rp0,Rp0,Rp0,Rp7.432.300,Rp6.760.242,Rp672.058,Rp10.438.884,Rp0,Rp0,Rp0,Rp8.183.440,Rp7.822.424,Rp361.016,Rp6.873.173,333,333,334,322,Rp74.307,170167,5488,3.23%,430,7.84%,6.07%,131360,4307,3.28%,373,8.66%,7.48%,Rp24.744.357,Rp0,Rp33.450.297,Rp9.397.302,Rp4.560.988,59,59,60528,1749,1379,134,2.89%,7.95%,Rp10.285.991,140,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,28,1133,16,1.41%,1,6.25%,0.00%,1049,13,1.24%,1,7.69%,0.00%,Rp7.432.300,Rp6.760.242,Rp672.058,101,101,91,10,101,91,10,98,Rp73.587,0,42750,1277,2.99%,98,7.67%,7.91%,34826,1093,3.14%,87,7.96%,8.97%,Rp10.438.884,Rp0,Rp0,Rp0,Rp8.183.440,Rp7.822.424,Rp361.016,141,141,141,138,Rp74.035,15,1,16,62649,2365,3.78%,168,7.10%,5.96%,52292,1964,3.76%,150,7.64%,7.03%,241,8,3.32%,1,12.50%,0.00%,221,5,2.26%,1,20.00%,0.00%,62119,2345,3.78%,167,7.12%,4.69%,51933,1952,3.76%,149,7.63%,5.53%,Rp6.873.173,Rp6.873.173,Rp0,91,91,91,0,92,92,0,86,Rp75.529,63635,1830,2.88%,163,8.91%,4.97%,52932,1487,2.81%,145,9.75%,5.78%
PAKET Pisau Potong Rumput Senar Trimmer Head + Dudukan Piringan Senar Nylon Mata Potong Tali Senar Potong Rumput,1729722166966388221,GMV ≥250 atau produk terjual ≥3,Aktif,Rp24.525.314,Rp94.536,Rp94.536,Rp0,Rp16.612.087,Rp15.318.967,Rp1.293.120,Rp6.194.524,Rp156.567,Rp108.417,Rp48.150,Rp4.997.014,Rp4.643.841,Rp353.173,Rp1.624.167,555,558,580,550,Rp43.952,276586,10750,3.89%,545,5.07%,5.19%,174981,8081,4.62%,489,6.05%,6.81%,Rp24.525.314,Rp0,Rp36.076.299,Rp13.130.963,Rp3.257.673,71,71,71472,2526,1900,160,3.53%,6.49%,Rp6.831.730,170,Rp94.536,Rp94.536,Rp0,2,2,2,0,2,2,0,2,Rp47.268,65,5559,84,1.51%,3,3.57%,2.38%,4914,53,1.08%,2,3.77%,3.77%,Rp16.612.087,Rp15.318.967,Rp1.293.120,366,367,335,32,382,350,32,362,Rp45.265,3,122682,4672,3.81%,247,5.29%,7.86%,84649,3856,4.56%,227,5.89%,9.39%,Rp6.194.524,Rp156.567,Rp108.417,Rp48.150,Rp4.997.014,Rp4.643.841,Rp353.173,147,148,154,146,Rp41.855,58,34,28,92367,4362,4.72%,224,5.14%,3.39%,62841,3420,5.44%,208,6.08%,4.27%,3186,38,1.19%,1,2.63%,7.89%,2566,36,1.40%,1,2.78%,8.33%,87524,4294,4.91%,220,5.12%,2.77%,59499,3363,5.65%,204,6.07%,3.51%,Rp1.624.167,Rp1.624.167,Rp0,40,41,41,0,42,42,0,40,Rp39.614,55971,1632,2.92%,71,4.35%,2.51%,45573,1353,2.97%,64,4.73%,2.96%
Mesin Potong Rumput FUMIO / GENMARU BG-328T 2 Tak / SUMURA Portable Brush Cutter Pemotong Rumput BG328T BG 328,1729778503179208189,produk terjual ≥1,Aktif,Rp23.357.543,Rp0,Rp0,Rp0,Rp3.175.592,Rp3.175.592,Rp0,Rp20.181.951,Rp907.485,Rp907.485,Rp0,Rp17.635.312,Rp17.635.312,Rp0,Rp0,21,21,21,19,Rp1.112.264,101773,6673,6.56%,73,1.09%,0.31%,75294,5228,6.94%,59,1.13%,0.36%,Rp23.357.543,Rp0,Rp25.739.518,Rp4.798.500,Rp14.158.893,13,13,14890,564,466,3,3.79%,0.71%,Rp3.538.984,4,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,11,2070,38,1.84%,1,2.63%,0.00%,1866,33,1.77%,1,3.03%,0.00%,Rp3.175.592,Rp3.175.592,Rp0,3,3,3,0,3,3,0,2,Rp1.058.531,3,11925,786,6.59%,8,1.02%,0.38%,9431,695,7.37%,6,0.86%,0.29%,Rp20.181.951,Rp907.485,Rp907.485,Rp0,Rp17.635.312,Rp17.635.312,Rp0,18,18,18,17,Rp1.121.220,54,33,39,72725,5330,7.33%,53,0.99%,0.34%,54877,4136,7.54%,43,1.04%,0.41%,12391,139,1.12%,2,1.44%,0.72%,11090,111,1.00%,2,1.80%,0.90%,59592,5180,8.69%,50,0.97%,0.29%,43555,4018,9.23%,40,1.00%,0.37%,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,15054,519,3.45%,11,2.12%,0.00%,11514,427,3.71%,11,2.58%,0.00%
